created_at,text
2025-06-29 23:50:43,"일본에서 유심 잃어버려갖구...있다 저녁까진 못들어와욧...!.!!
나빼구 놀지마세요 우우"
2025-06-29 23:30:03,아 한국올때 다챙기고 딱하나 유심카드 안가져온게 이렇게 크리티컬할줄이야 ㅅㅂ 공항이심도 끝나고 셀프개통도 안되고 미친 와이파이없으먄 아무것도못하는 원시인의인생
2025-06-29 23:28:02,"유출이 없다면서, 유심은 왜 공짜로 다 바꿔주냐??
."
2025-06-29 23:19:12,"위치 꺼놨긴한데 유심도 빼야하나염ㅁ,,?"
2025-06-29 22:54:58,"안녕하세요^^
일본 태민 홈피에 드가셔서 일본회원 팬클럽부터 가입하셨을까요?

홈피 가입하시고 아래 FC뉴스 들어가시면 티켓신청화면 들어가시는데 티켓피아화면에서 신청되므로 티켓피아도 가입하셔야하고 티켓피아는 일본번호로 인증도 진행하므로 일본번호 유심도"
2025-06-29 22:38:46,"아 실화야?? 유심칩 바꿧더니 캐나다 실트 떠
빛 같은 아이돌 총공들이다..."
2025-06-29 17:07:51,"화는 안풀리는데 일단 저놈이 문제가 아니고 강긔의 연락이 문제였음 유심을 끼우니 연락이 미친듯이 오고 그 중의 대다수가 강긔가 보낸 연락이였음 부재중과 차단 당한 횟수, 연락들을 보니 즈혅은 억장이 무너졌음 그 중에서도 슭긔가 쓰러지고 보낸 문자에서 결국 즈혅은 주저 앉아버림"
2025-06-29 16:59:15,"개빡친 배젽 잠시 내리라는 듯 고개 까딱이곤 매니저한테 유심 내놓으라고 하니 자신 핸드폰 뒤에 숨겨둔 작은 칩을 건네줌 그 모습에 화가 끌어오름

 미치신거에요? 왜 이딴 짓을
 저도 실장님이 시키셔서 그런거에요..
 뭐라고요?
 결과적으론 둘 다 잘 됬으니
 그걸 말이라고 해요?!"
2025-06-29 16:53:17,"여기 전파 안터지지 않아요?
 요즘 그런 곳이 어디있어요~
 맞아요 이런 산이라도 전파 다 터져요
 그럴리가요 제 폰은..
 이거 유심 빼신거 아니에요? 
 유심이요..?

애들과 대화를 나누는 중 조수석에 물건을 다 떨어트리는 매니저와 눈이 마주침 시선을 피하는걸 보니 저놈이구나 함"
2025-06-29 14:45:24,"이번 사태를 보면서
전국을 떠들썩하게했던 SKT 유심 사태가 떠오르네요.

그당시 SK 텔레콤이 기존 고객 유심은 없다면서
신규 가입 고객은 유심을 제공하는 등
어설프게 대응하다가 실컷 욕을 먹고는
 모든 업무를 접고 유심 교체 서비스에 집중했었는데요."
2025-06-29 14:38:22,"중국유심 끼웠는데 VPN 안해서 트위터 밴드 구글 네이버 스토어 크롬 다 막혀가지고 엉엉따 한국유심 끼우려고 폰 쑤셨는데 유심이 안.안 나왓어요
룸메한테 울면서 헬프외쳐가지고 겨우 갈아끼움//"
2025-06-29 14:20:16,유심이 없거나 잠금화면에서도 긴급전화가 가능한가요?
2025-06-29 14:04:45,"쓰니 팔이카페 알바생 번따하려고 일주일에 다섯 번은
카페 가서 죽치고 앉아있었는데 개망했어…ㅠㅠ
오늘 다른 남자 알바생 한 명 더 있길래 유심하게 봤는데
막 지들끼리 엉덩이 토닥거리고 엄청 꽁냥거리더라…
이거 얘네끼리 그렇고 그런 사이 맞겠지?아씨발"
2025-06-29 14:02:21,유심칩 밑에 공간 하나 더 있으면 sb카드 가능일거구 아니면 usc 사서 옮겨두셈
2025-06-29 13:41:45,씨발람들이 난 아직 유심도 못 바꿨어!!!!!!!!!!
2025-06-29 13:37:23,버튼아이폰들이 유심쪽 자주 고장나긴해
2025-06-29 13:34:50,"(눈앞에 있는 태산보다 강해 보이는 사내가, 할아버지가 결국 말없이 입을 꾹 닫는 모습을 유심하게 지켜보다 마음속에 있는 두려움을 읽기라도 한 것처럼 잠시 잠깐 아무 말 없이 맞잡은 손을 더 꼬옥 잡아 온기를 나눈다.) 할아버지, 나는 사황 밀짚모자 루피야!"
2025-06-29 13:31:11,"예전에 아이폰 12 쓸때 존나 상처받는 말 면전에서 들어봤긔...

“생긴건 화웨이 폰 쓸거같은데 아이폰 쓰는게 개웃기네요ㅋㅋ” 

그 말 듣고 너무 상처 받아서 원래 쓰던 12 애플케어 가입한 김에 망치로 깨서 새제품으로 받고 당근해버리고 전에 쓰던 갤럭시에 유심 끼워서 쭉 쓰다 이번에 폰바꿈"
