created_at,text,sentiment,score
2025-05-20 23:55:49,"흔들리는 통신판
SKT 유심 해킹 후폭풍…점유율 균형 맞춰지면 요금 인하 및 서비스 혜택 커질 전망",negative,0.09517502784729004
2025-05-20 23:51:10,SKT에서 갈아타고 싶은데 유플은 메인으로 쓰기엔 좀 그렇고 사실상 kt밖에 없어... 근데 kt도 품질 좋다고 하기엔 애매하고 위약금 문제도 있으니까 그냥 기다리는 중...,negative,0.30166661739349365
2025-05-20 23:42:06,skt 다털려놓고 요금은 잘만가져가네,negative,0.1464192271232605
2025-05-20 23:31:40,SKT 폰 다 무료교체해라,negative,0.17611569166183472
2025-05-20 23:24:39,"SKT, IMEI 30만건 유출 위험…거세지는 집단소송 움직임 #뉴스1",negative,0.03869807720184326
2025-05-20 23:23:43,"SKT는 무려 3년 전에 자사 서버가 털렸는데
3년 내내 지들이 털린지도 몰라놓고선 이제와서 자신있고 당당한 척 하는거 얼탱이가 없네 ㅋㅋㅋㅋㅋㅋㅋㅋ
3년이면 집을 턴 도둑이 아니라 거의 집 키 내어주고 동거하고 간 셈 아닌가",negative,0.09218013286590576
2025-05-20 23:23:02,"①SKT 서버 침입 해커, 금전 노린 협박·다크웹 정보 유출 없어
②3년 전 최초 침투 후 그동안 뭐했나…막판 한방 노렸을까
③""금전 목적보단 특정인 통신기록 등 고급 정보 노렸을 수도""

＂누가 뭘 노렸나＂…SKT 해킹사고 수수께끼 3가지 (출처 : 뉴시스 | 네이버 뉴스)",negative,0.031838297843933105
2025-05-20 23:22:27,"SKT의 마지막 원딜은 테디 박진성인데
왜 날조하냐고",negative,0.19939178228378296
2025-05-20 23:17:17,와 이건 좀 쩐다... skt imei 털려서 폰 바꿔야하는데 다시 갤럭시가야하나 에어팟때문에 아이폰 온건데....,negative,0.24812984466552734
2025-05-20 22:59:01,"SKT 2차 발표, 세상은 왜 이리 조용?

총 23대 서버의 대대적 해킹 확인됐으며, 3년 전부터 유출 시작됐으나 12월 3일(계엄령)부터 활동이 중단되었다는 것.

""국가 사이버전쟁 의심"", ""비상사태""에 대해 부정했던 야당과 헌재는 왜 즉시 탄핵 취소 안 하나?",negative,0.23624199628829956
2025-05-20 22:52:29,"""SKT 해킹 뉴스 소감""

SKT 유심칩 문제 터졌을 때 난 거기 가입자가 아니라 강 건너 불구경하듯해 자세한 내용은 모른다. 서버마다 악성 코드가 한두 개 심은 것도 심각한데 열 몇개가 동시에 발견됐단 뉴스를 보고 데자뷰처럼 IT 업계 흔한 사례가 떠올라서...",negative,0.13357645273208618
2025-05-20 22:50:29,강제기변 .. SKT는 지원금 쏘세요~,positive,0.8111241459846497
2025-05-20 22:23:29,계엄전 날까지 SKT 로그기록 누군가 삭제중이었답니다.,negative,0.4640025496482849
2025-05-20 21:51:16,"[한국경제]’유심 해킹’ SKT에 소비자 9213명 집단소송…”예견된 인재”
더보기 >>",negative,0.261120080947876
2025-05-20 21:50:53,스크 포함 姫 일가는 제대로 깨져야 할 듯 싶어.,positive,0.6784650087356567
2025-05-20 21:50:52,목적이 있었기에 알면서 방치한 거.,negative,0.058016061782836914
2025-05-20 21:50:52,이것 또한 고의적이지.ㅎㅎㅎㅎ,positive,0.5640103816986084
2025-05-20 21:50:42,"SKT 서버 악성코드 추가 발견
더보기 >>",negative,0.3702194094657898
2025-05-20 21:45:39,"SKT 지난 12월3일부터 지난달 24일(SKT해킹 발표날)는 자료 유출이 없었다.

22년6월15일부터 24년12월2일까지는  
자료유출 여부 점검 못했다.

12월3일 어디서 많이 들어본 날짜인데.. 하고
찾아보니 계엄령 내린날 ㄷㄷ",positive,0.6636413931846619
2025-05-20 21:44:13,귀찮아 안할래 범죄당해도 내탓이냐 skt탓이지 바꿔도 뭐해 또 털릴텐데,negative,0.3292158842086792
2025-05-20 21:43:18,"[사설] SKT 해킹도 중국계 추정, 中 앞에 무방비인 나라",negative,0.18911206722259521
2025-05-20 21:35:05,"SKT 감염서버, 암호화 안된 개인정보 담겨… “총체적 보안 부실”

3년간 악성코드 침투한 줄도 몰라… 해킹 안 뒤엔 가입자에 ‘늑장통보’
유심 재고 확보도 안해 ‘교체대란’… 정부도 피해 과소 예상, 신뢰 잃어
이재명 “SKT, 충분한 대응 조치해야”",negative,0.011111199855804443
2025-05-20 21:27:45,기록 사라진 SKT 해킹 수사 ‘안갯속’…“통신사 반복 사고 고리 끊어야”,negative,0.10089212656021118
2025-05-20 21:16:07,SKT 12월 3일,negative,0.3401055932044983
2025-05-20 21:13:01,ㅁㅊ SKT 뒤져라,negative,0.3426283597946167
2025-05-20 21:09:10,"진짜 이걸 어떻게 해야 해결이 되는지 알려줘라, 제발!! 
시기가 시기인만큼 부담되서 그런다-백번 양보하고 선거 후에 지켜 보겠다.
skt도 반드시 폐업해야 맞는데 안 하기만 해봐!!!!",negative,0.11070883274078369
2025-05-20 20:57:31,"[사설] SKT 해킹도 중국계 추정, 中 앞에 무방비인 나라 (출처 : 조선일보 | 네이버 뉴스)",negative,0.2458784580230713
2025-05-20 20:54:01,"3년 전 뚫고 아무 요구 없었다…SKT 해킹, 무엇을 노렸나",negative,0.24115198850631714
2025-05-20 20:33:42,"SKT 감염서버, 암호화 안된 개인정보 담겨… “총체적 보안 부실”",negative,0.11871153116226196
2025-05-20 20:27:30,"SKT 감염서버, 암호화 안된 개인정보 담겨… “총체적 보안 부실” (출처 : 동아일보 | 네이버 뉴스)",negative,0.14924663305282593
2025-05-20 20:07:41,"[사설] SKT 해킹도 중국계 추정, 中 앞에 무방비인 나라",negative,0.18911206722259521
2025-05-20 20:03:29,"[사설] SKT 해킹도 중국계 추정, 中 앞에 무방비인 나라",negative,0.18911206722259521
2025-05-20 19:43:01,SkT가 제공함 최태원 씨발세끼야 3대가 아니 너하고 네 불륜녀만 천벌받아 죽을때 고통스럽게 죽어라,negative,0.07983964681625366
2025-05-20 19:41:28,공교롭다 대선앞두고 중국의 해킹으로 한국인 절반 이상이 쓰는 SKT가 해킹당하다 중국이 이재명이 되게 셋팅한 대선임 오늘 중귝인이 두명 살해 두명 중태에 빠트리고 또 중국인이 호프집서 묻지마 칼부림 제주 공항서 중국 여자 화장실서 물비누로 머리감고 중귝남자 전철서 담배피고 꽁초버림,negative,0.44956815242767334
2025-05-20 19:34:29,"""잠복했다 발동"" 중국산 악성코드, SKT 서버 어떻게 털었나 | 경제 : 네이트 뉴스",negative,0.0536421537399292
2025-05-20 19:25:43,"[사설] SKT 해킹도 중국계 추정, 中 앞에 무방비인 나라 (출처 : 조선일보 | 네이버 뉴스)",negative,0.2458784580230713
2025-05-20 19:20:47,SKT 3년전부터 다 털려,negative,0.05967336893081665
2025-05-20 19:20:35,Skt 해킹 12월 3일 계엄일 이후부터는 로그인 기록 지우지 못함??,negative,0.32935798168182373
2025-05-20 17:54:39,22년 5월에 skt에서 kt로 갈아탔는데 이걸 다행이라고 해야돼 아직 남아있을 내 정보에 좆됐다고 해야돼...,positive,0.536957323551178
2025-05-20 17:51:38,"무슨 내용인지 심각해보여요.
미국교포분이 올리신듯
SKT이래도 되나요??",negative,0.008763790130615234
2025-05-20 17:49:20,"skt 사고터지고 계속 이런가봄
목소리가 죽을것같길래 머라고도 몬함..",negative,0.44942790269851685
2025-05-20 17:47:06,"줍줍)미친민주당 지지안하는 사람인지는 어떻게알았으며 그사람들의 정보수집은 어떤방식으로 한건데?개인들한테 다 허락받고 수집한거임?아니면 skt해킹사태미친놈랑 이재명이랑 같이 사진찍은후 갑자기 민주당은 skt해킹인데 정부,과기부장관 까고 그러더니..민주당 니들이랑 sk랑 혹시 뭐 있늬?",negative,0.3450794219970703
2025-05-20 17:25:13,수사 하면서 정보 어디까지 갖고 있는지 확인하려는것 같은데 어제 SKT 해킹 터지고 뭔가 급박하게 돌아가는 느낌,positive,0.6399893760681152
2025-05-20 17:24:01,"의외로... skt해킹으로 이득본것

더이상 스팸문자가 안옴
복제 유심칩 거기로 가나봄...ㅋ",negative,0.018492281436920166
