created_at,text,sentiment,score
2025-07-06 23:49:00,"[Q&A] SKT 위약금 환급, 누가 언제 어떻게 받나?

SK텔레콤이 보상 조치의 일환으로 통신 위약금 전액 환급을 시행한다.",negative,0.2539904713630676
2025-07-06 23:32:39,"지금까지 SKT만 썼는데 이제 손절할때가 된거같다.
오래썼다고 챙겨주는것도 없고 개인정보만 공공재되어버렸지 뭐",negative,0.08137667179107666
2025-07-06 23:10:38,"'SKT 유심 해킹 사건도...인접 국가에서 시도한 것이라면, 영토를 무력으로 침범한 것이 아닐지라도 국민의 생활 터전을 파괴하는 행위여서 엄연한 안보 이슈다.' 

국제사회 ‘왕따’ 되는 게 최대 안보 위협 (출처 : 신동아 | 네이버 뉴스)",negative,0.05878561735153198
2025-07-06 22:34:33,"SKT의 위약금 면제 전략은 T World 앱의 간소화된 프로세스, 투명한 기준, 빠른 환급, 인센티브로 UX를 향상시키며, 간편하고 신뢰 중심 DeFi 접근법과 유사합니다.",positive,0.5033046007156372
2025-07-06 22:23:40,"#CBS #노컷뉴스 #뉴스톡 #퇴근길함께하는뉴스 
[박지환의 뉴스톡] - 07/04(금) 17시 30분
안전한 통신 제공 못한 SKT 위약금 면제해야
민주, 국회 본회의 추경안 단독 처리
""검찰 해체 수준 개혁"" 신임 검사장들 반성문",negative,0.12121319770812988
2025-07-06 21:56:14,"관심없지만 가끔 타임라인에 나타나는, 나름 성공하기 위해 열심히 살고 있는듯한 사람이... 시간이 충분히 지난 아직도 SKT 출신이라고 언급하는걸 보면 10년후에도 할것으로 보임. 경험상 어디 출신임을 자랑스럽게 이야기한다는 것은 그게 그사람 인생의 전성기였다는 뜻임",positive,0.8873950242996216
2025-07-06 21:20:12,"● SKT 유심 해킹 사건, 심대한 안보 위협
● 대만 사태? 우리 경제영토 절반 날아가는 일
● 한미동맹 진화에 맞게 안보 정책도 진화시켜야

국제사회 ‘왕따’ 되는 게 최대 안보 위협 (출처 : 신동아 | 네이버 뉴스)",negative,0.1338685154914856
2025-07-06 20:27:56,"‘위약금 면제’ SKT, 5000억 감사 패키지로 추가 이탈 막는다",negative,0.02101045846939087
2025-07-06 18:56:18,과방위에서 이해민 의원 같은 분들이 SKT가 책임 피하려고 얼버부리는 부분들을 하나 하나 기술적 디테일을 다 짚어서 미꾸라지처럼 빠져나가는 걸 막아버리는 거 보고 탄성이 나오더라.,positive,0.618006706237793
2025-07-06 18:04:57,이 정도는 되어야 1인 1빙 쌉가능. 비싸서 그렇죠...(Feat. SKT 할인),negative,0.07124471664428711
2025-07-06 16:48:01,"SKT : 해커한테 고객의 정보를 털린다
KT : 고객의 정보를 직접 턴다
LGU : 중국(화웨이)에 정보를 털린다",negative,0.20119023323059082
2025-07-06 16:43:50,"저분은 LGU+ 통신사 쓰고 계시는군요. SKT가 대대적으로 털리긴 했으나, 다른곳도 한국인 번호가 이미 다 털렸거나 알게모르게 털리고 있으니 확실히 저건 중공 내수용 보이스피싱 걸려왔을 가능성이 있네요",negative,0.04762601852416992
