created_at,text,sentiment,score
2025-06-16 23:59:09,내가 유심교체를 위해 날짜를 계속 비워놔야하는게 맞는거야?,negative,0.13768112659454346
2025-06-16 23:58:19,"ㅇㄴ 유심 교체 예약해서 유심교체 차례가 됐는데 하필 그때 바쁜 일 있어서 날짜좀 미뤄달라했더니 안됀대.
아니 문자에서는 날짜변경시 전화달라고해놓고 안된다하면 어카라는거임 대채
다시 예약해서 또 기다리라고?",negative,0.3536858558654785
2025-06-16 22:38:02,하 너무 바빠서 유심교체기간 그대로 흘려보냈네 아아아...,negative,0.022849082946777344
2025-06-16 22:18:59,"유심 잃어버림 엔딩...
최저 최악 운세 "" 흉 """,negative,0.0016512870788574219
2025-06-16 21:59:02,점심때쯤 나가서 유심교체하고 점심때우면서 뉴이방송이나 보면 되겠군,negative,0.011701226234436035
2025-06-16 18:25:35,요즘 트위터 광고 왜이리 좆같은게 많이 나오지 일본 갔다온 뒤로 심해진거 같은데 시발 내 유심 어케 된거 아니냐고 내가 이폰으로 무ㅏ 야동을 봤니 뭘했니,negative,0.2441815733909607
2025-06-16 18:18:01,유심보다 위험한 카톡 설정 l '이 설정' 안바꾸면 개인정보 다 털립니다!!  출처,negative,0.14021062850952148
2025-06-16 16:21:27,"메롱이 스밍은 계속 돌아가는 중. 
아미바다 유툽 뮤직 엡뎃 슴리 있으신지 보러 가야겠네요. 
제가 폰 바꿀때 데이터 옮기기를 딸애가 해 줬거든요. 유심도 교체하구요. 
근디 스헤가 자꾸 앱 오류가 나요. 
글서 몇번을 삭제했다가 다시 깔아도 팔로잉 계정이 안보이네요.",negative,0.009637653827667236
2025-06-16 15:26:55,오늘은 시부야에서 폰 꺼져서(일본유심이 배터리를 엄청 잡아먹는듯..)또 호텔까지 벅뚜벅뚜 옴 이제 노휴대폰여행 가능할듯하여요,negative,0.21117311716079712
2025-06-16 14:57:56,나 일본유심삿오!! 네이버에서구매가능합니다~~,negative,0.1331319808959961
2025-06-16 14:51:41,"한국 번호를 살려두기 위해 알뜰폰 요금제 저렴한 걸로 여친이랑 똑같이 바꿔왔건만..
한국에서도 일주일 넘게 잘 쓰고, 호주 와서도 며칠 문자 잘 오더니 갑자기 안 옴 ㅎ
똑같은 유심, 요금제인 여친 거는 잘 온다,,
저번주에 고객센터와 씨름했지만 해결 X
이런 경우도 있을 수 있단 걸 배운다",positive,0.8953211903572083
2025-06-16 14:46:14,"유심칩 뽑는 핀? 그거 부러짐 이슈로 저는 아직도 유심칩을 바꾸지 못하고있고, 지하철 와이파이가 불안정해서 한 20분동안 트위터도 못했습니다 
너무너무 심심했어요",negative,0.014408707618713379
2025-06-16 14:41:46,예전에 라스 첫 해외투어 떴을때 한국 패싱한게 트라우마가 됐고 울었음 그후 뱅드림 라이브 내한 오는것보다 내가 유심사고 선행권 긁어서 일본가는게 더 빠르고 경제적임을 깨달았을때는 너무나도 허탈했음 그리고 한국 안올 확률이 100에 가깝다는걸 알았을 땐 키다니 차단 마려웠음,negative,0.12618649005889893
